"state_name","state_abbrev","state_fips","min_license_year","min_year_confidence","min_year_source","issuance_scope","issuance_unit_type","issuance_unit_label","agency_name","agency_name_historical","licensing_start_year","licensing_start_source","notes"
"Minnesota","MN","27","1899","high","https://www.nrahlf.org/articles/2019/7/31/the-long-history-of-nonresident-hunting-licenses/","management_unit","Deer Permit Area","DPA","Minnesota Department of Natural Resources","Minnesota Department of Natural Resources","1899","https://www.nrahlf.org/articles/2019/7/31/the-long-history-of-nonresident-hunting-licenses/","MN first required resident hunting license in 1899 at $0.25 (NR $25). Species-specific license system (no single general hunting license). 87 counties; DPAs group counties by habitat/land use. Hunters must declare DPA at deer license purchase."
"Missouri","MO","29","1913","medium","https://waterfowlstampsandmore.com/1913-hunting-fishing-licenses-a-historical-perspective-part-one/","county","County","County","Missouri Department of Conservation","Department of Game and Fish","1913","https://waterfowlstampsandmore.com/1913-hunting-fishing-licenses-a-historical-perspective-part-one/","MO uses 'permits' not 'licenses' for hunting credentials. Earliest known MO hunting license Jan 6 1913 (county resident hunter's license). MO Conservation Commission formed 1937. Residents 65+ exempt from small game/bird permits. Antlerless deer quotas set by county. 114 counties + St. Louis City."
"Montana","MT","30","1901","medium","https://en.wikipedia.org/wiki/Montana_Department_of_Fish_Wildlife_and_Parks","management_unit","Hunting District","HD","Montana Fish Wildlife and Parks","Fish and Game Board","1905","https://fwp.mt.gov/hunt/regulations","NR hunting license required 1901; resident license required 1905. Fish and Game Board established 1895. ~300+ Hunting Districts statewide; district count varies by species. Conservation License + Base Hunting License required before any species license."
"New Hampshire","NH","33","1909","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","management_unit","Wildlife Management Unit","WMU","New Hampshire Fish and Game Department","New Hampshire Fish and Game Department","1909","https://www.wildlife.nh.gov/hunting-nh/where-hunt/new-hampshire-wildlife-management-units","Earliest known NH license is 1909 Resident Hunter's Permit (collector records). NH Fish & Game created 1906. 13 main WMU letters (A-M) with 22 subunits. Units L and M are special deer management units. Senior threshold is 68+. Permanent/Milestone licenses free for those born 1947 or earlier."
"New York","NY","36","1864","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","management_unit","Wildlife Management Unit","WMU","New York State Department of Environmental Conservation","Conservation Department","1908","https://dec.ny.gov/regulatory/permits-licenses/sporting-and-use/sporting/hunting-license","Earliest known NY hunting license is 1908 Resident Hunter's License (collector records). 1864 date references earliest game law. WMUs replaced DMUs after 1997-98 season. WMU numbers correspond to DEC Regions (1-9). Deer Management Permits (antlerless) issued by WMU quota. Seniors 70+ hunt free."
"North Carolina","NC","37","1935","medium","https://www.ncleg.net/EnactedLegislation/Statutes/PDF/ByArticle/Chapter_113/Article_21.pdf","county","County","County","North Carolina Wildlife Resources Commission","North Carolina Wildlife Resources Commission","1935","https://www.ncleg.net/EnactedLegislation/Statutes/PDF/ByArticle/Chapter_113/Article_21.pdf","NC General Statutes cite 1935 c.486 as earliest hunting license session law. Earlier game regulation laws from 1929 existed. NC Wildlife Resources Commission formally created 1947. Reciprocal 10-day rates with GA/SC/TN/VA. Comprehensive license adds big game + waterfowl to base hunting license."
"Ohio","OH","39","1913","high","https://waterfowlstampsandmore.com/1913-hunting-fishing-licenses-a-historical-perspective-part-one/","county","County","County","Ohio Department of Natural Resources Division of Wildlife","Ohio Department of Natural Resources Division of Wildlife","1913","https://waterfowlstampsandmore.com/1913-hunting-fishing-licenses-a-historical-perspective-part-one/","OH was one of five states issuing first resident hunting licenses in 1913. Earliest known OH license issued Sep 27 1913. Multi-year licenses (3/5/10-year) available for residents. Free senior license for those born on/before Dec 31 1937."
"Pennsylvania","PA","42","1913","high","https://waterfowlstampsandmore.com/1913-hunting-fishing-licenses-a-historical-perspective-part-three/","mixed","County","County","Pennsylvania Game Commission","Pennsylvania Game Commission","1913","https://waterfowlstampsandmore.com/1913-hunting-fishing-licenses-a-historical-perspective-part-three/","First PA hunting license sold in 1913 for $1. PA Game Commission created 1895 but licenses not required until 1913. Pre-2003 licenses county-based; 22 WMUs replaced counties as management overlay in 2003. Antlerless deer quotas were by county 1951-2002. County remains the primary unit on historical antique licenses."
"Tennessee","TN","47","1920","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","Tennessee Wildlife Resources Agency","Tennessee Wildlife Resources Agency","1920","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known TN hunting license is 1920 county license to hunt (collector records). Actual statutory requirement may be earlier. TWRA established 1974. TN uses supplemental licenses on top of base Combo Hunt/Fish. NR Native Tennessean (born in TN) gets resident rates."
"Texas","TX","48","1909","high","https://www.tshaonline.org/handbook/entries/texas-game-and-fish-commission","county","County","County","Texas Parks and Wildlife Department","Office of Game Fish and Oyster Commissioner","1909","https://www.tshaonline.org/handbook/entries/texas-game-and-fish-commission","Texas State Historical Association confirms first hunting licenses sold in 1909. Office of Game Fish and Oyster Commissioner established 1907. Regulations set by county in the Outdoor Annual."
"Vermont","VT","50","1908","medium","https://legislature.vermont.gov/Documents/2020/WorkGroups/House%20Commerce/Vermont%20Fish%20and%20Wildlife/W~Louis%20Porter~Vermont%20Fish%20and%20Wildlife%20Background~1-22-2019.pdf","management_unit","Wildlife Management Unit","WMU","Vermont Fish and Wildlife Department","Fish and Game Department","1908","https://legislature.vermont.gov/statutes/section/10/105/04255","VT Fish & Wildlife official presentation states 1908 first resident hunting and fishing license. Some sources say 1909. Fish & Game Dept created 1906. WMUs established 1979; pre-1979 antique licenses unlikely to reference management units. 17 base letter units with D/E/F/J subdivided into numbered subunits."
"Virginia","VA","51","1916","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","Virginia Department of Wildlife Resources","Department of Game and Inland Fisheries","1916","https://dwr.virginia.gov/hunting/regulations/licenses/","Earliest known VA hunting license is 1916-17 county hunter's license (collector records). VA uniquely offers county/city-specific resident hunting license cheaper than statewide. Multi-year licenses available up to 4 years. 95 counties + 38 independent cities = 133 jurisdictions."
"West Virginia","WV","54","1899","high","https://wvexplorer.com/west-virginia-hunter-magazine/history-of-hunting-regulations/","county","County","County","West Virginia Division of Natural Resources","West Virginia Division of Natural Resources","1909","https://wvexplorer.com/west-virginia-hunter-magazine/history-of-hunting-regulations/","WV first NR hunting license 1899 ($25). First resident license 1909-10. Game and Fish Warden office created 1897. WV uses Class code system (A/E/X/BG/CS etc.) for all license types. Antlerless deer stamps (Class N/NN) are county-specific. Conservation Stamp required for all hunters."
"Wisconsin","WI","55","1897","high","https://dnr.wi.gov/news/Weekly/article/?id=1258","mixed","County","County","Wisconsin Department of Natural Resources","Wisconsin Department of Natural Resources","1897","https://dnr.wi.gov/news/Weekly/article/?id=1258","First WI hunting license 1897: $1 resident/$30 nonresident. ~12000 licenses sold first year. First deer license to George Ogomoso of Armstrong Creek. ~130 DMUs currently used for deer management; county remains the historical unit for antique licenses."
"Wyoming","WY","56","1886","low","","management_unit","Hunt Area","Hunt Area","Wyoming Game and Fish Department","Wyoming Game and Fish Department","1899","https://wgfd.wyo.gov/licenses-applications","Game Warden office created 1899; fishing license not required until 1920. Hunting license start year unconfirmed — estimated 1899-1905. Hunt Areas vary by species; deer ~90 areas elk ~100+ antelope ~100+. Conservation Stamp required for all hunters."
