"state_abbrev","license_class_name","residency","holder_eligibility","activity_scope","duration","approx_first_year","approx_last_year","was_issued_by_unit","notes","source_url"
"IL","Resident Lifetime Hunting License","Resident","General","General Hunting","Lifetime","","","False","One-time purchase lifetime hunting license for residents","https://dnr.illinois.gov/lpr/huntinglicensesfees.html"
"IN","Resident Annual Hunting License","Resident","General","General Hunting","Annual","1901","","False","Standard annual hunting license for IN residents","https://www.in.gov/dnr/fish-and-wildlife/licenses-and-permits/license-fees/"
"IN","Resident Youth Consolidated Hunt/Trap License","Resident","Youth","Trapping/Furbearer","Annual","","","False","Youth combo hunting and trapping license","https://www.in.gov/dnr/fish-and-wildlife/licenses-and-permits/license-fees/"
"IN","Resident Hunting and Fishing Combination","Resident","General","Combo Hunt+Fish","Annual","","","False","Resident combo hunting and fishing","https://www.in.gov/dnr/fish-and-wildlife/licenses-and-permits/license-fees/"
"IN","DAV Hunting and Fishing License","Resident","Disabled","Combo Hunt+Fish","Annual","","","False","Disabled American Veteran combination license","https://www.in.gov/dnr/fish-and-wildlife/licenses-and-permits/license-fees/"
"IN","10-Year DAV Hunting and Fishing License","Resident","Disabled","Combo Hunt+Fish","Multi-year","","","False","10-year version of the DAV combo license","https://www.in.gov/dnr/fish-and-wildlife/licenses-and-permits/license-fees/"
"IN","Nonresident Annual Hunting License","Nonresident","General","General Hunting","Annual","1901","","False","Annual hunting license for nonresidents","https://www.in.gov/dnr/fish-and-wildlife/licenses-and-permits/license-fees/"
"IN","Nonresident Youth Annual Hunting License","Nonresident","Youth","General Hunting","Annual","","","False","Annual hunting license for nonresident youth","https://www.in.gov/dnr/fish-and-wildlife/licenses-and-permits/license-fees/"
"IN","Nonresident Five-Day Hunting License","Nonresident","General","General Hunting","5-day","","","False","Short-term five-day license for nonresidents","https://www.in.gov/dnr/fish-and-wildlife/licenses-and-permits/license-fees/"
"IA","Resident Hunting License","Resident","General","General Hunting","Annual","1909","","False","Standard annual hunting license for IA residents","https://www.iowadnr.gov/hunting/hunting-licenses-laws"
"IA","Resident Hunting/Habitat Fee Combination","Resident","General","General Hunting","Annual","","","False","Hunting license bundled with mandatory habitat fee","https://www.iowadnr.gov/hunting/hunting-licenses-laws"
"IA","Resident Outdoor Combination (Hunt+Fish+Habitat)","Resident","General","Combo Hunt+Fish","Annual","","","False","All-inclusive combo for residents","https://www.iowadnr.gov/hunting/hunting-licenses-laws"
"IA","Nonresident Hunting License","Nonresident","General","General Hunting","Annual","1909","","False","Annual hunting license for nonresidents","https://www.iowadnr.gov/hunting/hunting-licenses-laws"
"IA","Under 18 Hunting License","Any","Youth","General Hunting","Annual","","","False","Reduced-fee license for hunters under 18","https://www.iowadnr.gov/hunting/hunting-licenses-laws"
"IA","Lifetime Hunting License","Resident","General","General Hunting","Lifetime","","","False","One-time purchase lifetime license for residents","https://www.iowadnr.gov/hunting/hunting-licenses-laws"
"IA","Fur Harvester License","Resident","General","Trapping/Furbearer","Annual","","","False","License for fur-bearing animal harvest","https://www.iowadnr.gov/hunting/hunting-licenses-laws"
"IA","Trapping License","Any","General","Trapping/Furbearer","Annual","","","False","License for trapping activities","https://www.iowadnr.gov/hunting/hunting-licenses-laws"
"KS","Resident Annual Hunting License","Resident","General","General Hunting","Annual","1905","","False","Standard annual hunting license for KS residents","https://ksoutdoors.gov/Hunting/Applications-and-Fees/General"
"KS","Resident Senior Annual Hunting License","Resident","Senior","General Hunting","Annual","","","False","Reduced-fee license for residents 65+","https://ksoutdoors.gov/Hunting/Applications-and-Fees/General"
"KS","Resident Youth Multi-year Hunting License","Resident","Youth","General Hunting","Multi-year","","","False","Multi-year hunting license for resident youth","https://ksoutdoors.gov/Hunting/Applications-and-Fees/General"
"KS","Resident Annual Hunt/Fish Combination","Resident","General","Combo Hunt+Fish","Annual","","","False","Resident combo hunting and fishing","https://ksoutdoors.gov/Hunting/Applications-and-Fees/General"
"KS","Nonresident Annual Hunting License","Nonresident","General","General Hunting","Annual","1905","","False","Annual hunting license for nonresidents","https://ksoutdoors.gov/Hunting/Applications-and-Fees/General"
"KS","Lifetime Hunting License","Resident","General","General Hunting","Lifetime","","","False","One-time purchase lifetime license for residents","https://ksoutdoors.gov/Hunting/Applications-and-Fees/General"
"KS","Lifetime Hunt/Fish Combination","Resident","General","Combo Hunt+Fish","Lifetime","","","False","Lifetime combo hunting and fishing for residents","https://ksoutdoors.gov/Hunting/Applications-and-Fees/General"
"KS","Controlled Shooting Area License","Any","General","General Hunting","Annual","","","False","License for hunting at licensed controlled shooting areas","https://ksoutdoors.gov/Hunting/Applications-and-Fees/General"
"KS","National Guard Permit","Resident","Military","General Hunting","Annual","","","False","Reduced-fee permit for National Guard members","https://ksoutdoors.gov/Hunting/Applications-and-Fees/General"
"KS","Resident Furharvester License","Resident","General","Trapping/Furbearer","Annual","","","False","License for fur-bearing animal harvest","https://ksoutdoors.gov/Hunting/Applications-and-Fees/General"
"KY","Resident Hunting License","Resident","General","General Hunting","Annual","1912","","False","Standard annual hunting license for KY residents","https://fw.ky.gov/Licenses/Pages/default.aspx"
"KY","Nonresident Annual Hunting License","Nonresident","General","General Hunting","Annual","1912","","False","Annual hunting license for nonresidents","https://fw.ky.gov/Licenses/Pages/default.aspx"
"KY","1-Day Hunting License","Any","General","General Hunting","1-day","","","False","Single-day hunting license","https://fw.ky.gov/Licenses/Pages/default.aspx"
"KY","7-Day Small Game Hunting License","Any","General","General Hunting","7-day","","","False","Seven-day small game hunting license","https://fw.ky.gov/Licenses/Pages/default.aspx"
"KY","Nonresident 5-Day Hunting License","Nonresident","General","General Hunting","5-day","","","False","Five-day hunting license for nonresidents","https://fw.ky.gov/Licenses/Pages/default.aspx"
"KY","Jr. Hunting License (12-15)","Any","Junior","General Hunting","Annual","","","False","Junior hunting license for ages 12-15","https://fw.ky.gov/Licenses/Pages/default.aspx"
"KY","Combination Fishing and Hunting License","Any","General","Combo Hunt+Fish","Annual","","","False","Combined hunting and fishing license","https://fw.ky.gov/Licenses/Pages/default.aspx"
"KY","Sportsman License","Any","General","Sportsman","Annual","","","False","All-inclusive sportsman license","https://fw.ky.gov/Licenses/Pages/default.aspx"
"KY","Jr. Sportsman License","Any","Junior","Sportsman","Annual","","","False","Junior all-inclusive sportsman license","https://fw.ky.gov/Licenses/Pages/default.aspx"
"KY","Senior/Disabled License (65+)","Resident","Senior","General Hunting","Annual","","","False","Reduced-fee license for residents 65+ or disabled","https://fw.ky.gov/Licenses/Pages/default.aspx"
"KY","Senior Lifetime Sportsman's License","Resident","Senior","Sportsman","Lifetime","","","False","Lifetime sportsman license for qualifying seniors","https://fw.ky.gov/Licenses/Pages/default.aspx"
"KY","Resident Trapping License","Resident","General","Trapping/Furbearer","Annual","","","False","Annual trapping license for residents","https://fw.ky.gov/Licenses/Pages/default.aspx"
"ME","Resident Hunting License (Big Game)","Resident","General","General Hunting","Annual","1919","","False","Standard annual hunting license covering big game","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html"
"ME","Resident Small Game Hunting License","Resident","General","General Hunting","Annual","1919","","False","Resident license for small game only (no deer/bear)","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html"
"ME","Resident Archery Hunting License","Resident","General","General Hunting","Annual","","","False","Resident license for archery hunting","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html"
"ME","Resident Combination Fish/Hunt License","Resident","General","Combo Hunt+Fish","Annual","","","False","Resident combo hunting and fishing license","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html"
"ME","Resident Super Pack License","Resident","General","Sportsman","Annual","","","False","All-inclusive license bundle for residents at approximately $212","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html"
"ME","Nonresident Hunting License","Nonresident","General","General Hunting","Annual","1903","","False","Standard annual hunting license for nonresidents","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html"
"ME","Nonresident 3-Day Small Game License","Nonresident","General","General Hunting","3-day","","","False","Three-day small game license for nonresidents","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html"
"ME","Nonresident Alien Hunting License","Nonresident","General","General Hunting","Annual","","","False","For non-US citizen nonresident hunters","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html"
"ME","Junior Hunting License (under 16)","Any","Junior","General Hunting","Annual","","","False","Hunting license for hunters under age 16","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html"
"ME","Apprentice Hunting License","Any","Apprentice","General Hunting","Annual","","","False","For first-time hunters; must hunt with licensed mentor","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html"
"ME","Lifetime License","Resident","General","General Hunting","Lifetime","","","False","Age-tiered pricing; available for residents","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html"
"ME","Complimentary License","Any","Disabled","General Hunting","Annual","","","False","Free license for 50%+ disabled veterans and tribal members","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html"
"MD","Resident Regular Hunting License","Resident","General","General Hunting","Annual","1910","","False","Standard annual hunting license for MD residents. County-based until ~1916-18.","https://dnr.maryland.gov/pages/service_hunting_license.aspx"
"MD","Resident Junior Hunting License","Resident","Junior","General Hunting","Annual","","","False","Reduced-fee license for resident youth under 16","https://dnr.maryland.gov/pages/service_hunting_license.aspx"
"MD","Resident Senior Hunting License","Resident","Senior","General Hunting","Annual","","","False","Reduced-fee license for residents 65+","https://dnr.maryland.gov/pages/service_hunting_license.aspx"
"MD","Nonresident Hunting License","Nonresident","General","General Hunting","Annual","1910","","False","Annual hunting license for nonresidents","https://dnr.maryland.gov/pages/service_hunting_license.aspx"
"MD","Nonresident Junior Hunting License","Nonresident","Junior","General Hunting","Annual","","","False","Nonresident license for youth hunters","https://dnr.maryland.gov/pages/service_hunting_license.aspx"
"MD","Nonresident Senior Hunting License","Nonresident","Senior","General Hunting","Annual","","","False","Nonresident license for senior hunters","https://dnr.maryland.gov/pages/service_hunting_license.aspx"
"MD","Nonresident 3-Day Waterfowl and Small Game License","Nonresident","General","Waterfowl/Migratory","3-day","","","False","Short-term nonresident license focused on waterfowl","https://dnr.maryland.gov/pages/service_hunting_license.aspx"
"MD","Nonresident Trapping License","Nonresident","General","Trapping/Furbearer","Annual","","","False","Annual trapping license for nonresidents","https://dnr.maryland.gov/pages/service_hunting_license.aspx"
"MD","Resident Apprentice Hunting License","Resident","Apprentice","General Hunting","Annual","","","False","For first-time resident hunters","https://dnr.maryland.gov/pages/service_hunting_license.aspx"
"MD","Complimentary Lifetime License","Any","Disabled","General Hunting","Lifetime","","","False","Free lifetime for 100% disabled veterans and POWs","https://dnr.maryland.gov/pages/service_hunting_license.aspx"
"MI","Resident Base License","Resident","General","General Hunting","Annual","1895","","False","Required base license before purchasing species-specific licenses","https://www.eregulations.com/michigan/hunting/licenses-fees"
"MI","Nonresident Base License","Nonresident","General","General Hunting","Annual","1895","","False","Required base license for nonresidents","https://www.eregulations.com/michigan/hunting/licenses-fees"
"MI","Senior Hunting License","Resident","Senior","General Hunting","Annual","","","False","Reduced-fee base license for residents 65+","https://www.eregulations.com/michigan/hunting/licenses-fees"
"MI","Mentored Youth License","Any","Youth","General Hunting","Annual","","","False","For youth hunters hunting under direct adult supervision","https://www.eregulations.com/michigan/hunting/licenses-fees"
"MI","Hunt/Fish Combination License","Resident","General","Combo Hunt+Fish","Annual","","","False","Resident combo hunting and fishing","https://www.eregulations.com/michigan/hunting/licenses-fees"
"MI","Lifetime Comprehensive Hunt/Fish License","Resident","General","Combo Hunt+Fish","Lifetime","","","False","One-time purchase lifetime combo for residents","https://www.eregulations.com/michigan/hunting/licenses-fees"
"MI","Fur Harvester License","Any","General","Trapping/Furbearer","Annual","","","False","License for trapping and fur harvesting","https://www.eregulations.com/michigan/hunting/licenses-fees"
"MI","Nonresident 7-Day Small Game License","Nonresident","General","General Hunting","7-day","","","False","Seven-day small game license for nonresidents","https://www.eregulations.com/michigan/hunting/licenses-fees"
"MI","Nonresident 3-Day Small Game License","Nonresident","General","General Hunting","3-day","","","False","Three-day small game license for nonresidents","https://www.eregulations.com/michigan/hunting/licenses-fees"
"MN","Resident Small Game License","Resident","General","General Hunting","Annual","1899","","False","Base small game hunting license for MN residents. MN has species-specific licensing.","https://www.eregulations.com/minnesota/hunting/hunting-licenses-and-fees"
"MN","Nonresident Small Game License","Nonresident","General","General Hunting","Annual","1899","","False","Base small game hunting license for nonresidents","https://www.eregulations.com/minnesota/hunting/hunting-licenses-and-fees"
"MN","Resident Firearm Deer License","Resident","General","Big Game","Annual","","","True","Deer license specific to declared Deer Permit Area (DPA)","https://www.eregulations.com/minnesota/hunting/hunting-licenses-and-fees"
"MN","Resident Archery Deer License","Resident","General","Big Game","Annual","","","True","Archery deer license; DPA declared at purchase","https://www.eregulations.com/minnesota/hunting/hunting-licenses-and-fees"
"MN","Resident Muzzleloader Deer License","Resident","General","Big Game","Annual","","","True","Muzzleloader deer license; DPA declared at purchase","https://www.eregulations.com/minnesota/hunting/hunting-licenses-and-fees"
"MN","Sporting License (Combination)","Resident","General","Sportsman","Annual","","","False","Combo license covering multiple species/activities","https://www.eregulations.com/minnesota/hunting/hunting-licenses-and-fees"
"MN","Super Sports License","Resident","General","Sportsman","Annual","","","False","All-inclusive super sportsman license","https://www.eregulations.com/minnesota/hunting/hunting-licenses-and-fees"
"MN","Youth Small Game License","Any","Youth","General Hunting","Annual","","","False","Small game license for hunters under 18","https://www.eregulations.com/minnesota/hunting/hunting-licenses-and-fees"
"MN","Bear License","Any","General","Big Game","Annual","","","False","Black bear hunting license","https://www.eregulations.com/minnesota/hunting/hunting-licenses-and-fees"
"MN","Turkey License","Any","General","Big Game","Annual","","","False","Wild turkey hunting license","https://www.eregulations.com/minnesota/hunting/hunting-licenses-and-fees"
"MN","Trapping License","Any","General","Trapping/Furbearer","Annual","","","False","License for trapping furbearers","https://www.eregulations.com/minnesota/hunting/hunting-licenses-and-fees"
"MO","Resident Small Game Hunting Permit","Resident","General","General Hunting","Annual","1913","","False","MO uses 'permits' not 'licenses'. Base small game permit for residents.","https://mdc.mo.gov/permits/hunting-permits"
"MO","Resident Hunting and Fishing Permit","Resident","General","Combo Hunt+Fish","Annual","","","False","Resident combo hunting and fishing permit","https://mdc.mo.gov/permits/hunting-permits"
"MO","Resident Lifetime Small Game Hunting Permit","Resident","General","General Hunting","Lifetime","","","False","Lifetime small game permit for residents","https://mdc.mo.gov/permits/hunting-permits"
"MO","Resident Lifetime Conservation Partner Permit","Resident","General","Combo Hunt+Fish","Lifetime","","","False","All-inclusive lifetime permit for residents","https://mdc.mo.gov/permits/hunting-permits"
"MO","Nonresident Small Game Hunting Permit","Nonresident","General","General Hunting","Annual","1913","","False","Base small game permit for nonresidents","https://mdc.mo.gov/permits/hunting-permits"
"MO","Apprentice Hunter Authorization","Any","Apprentice","General Hunting","Annual","","","False","For first-time hunters; must hunt with licensed adult","https://mdc.mo.gov/permits/hunting-permits"
"MO","Military Reduced Cost Permit","Any","Military","General Hunting","Annual","","","False","Reduced-cost hunting permit for active military","https://mdc.mo.gov/permits/hunting-permits"
"MT","Conservation License","Any","General","General Hunting","Annual","1905","","False","Prerequisite for all other licenses; required before purchasing any species license","https://fwp.mt.gov/buyandapply/hunting-licenses/resident-licenses/fees"
"MT","Base Hunting License","Any","General","General Hunting","Annual","1905","","False","Second prerequisite; required before species-specific licenses","https://fwp.mt.gov/buyandapply/hunting-licenses/resident-licenses/fees"
"MT","Sportsman License (with Bear)","Resident","General","Sportsman","Annual","","","False","Comprehensive license bundle including black bear","https://fwp.mt.gov/buyandapply/hunting-licenses/resident-licenses/fees"
"MT","Sportsman License (without Bear)","Resident","General","Sportsman","Annual","","","False","Comprehensive license bundle excluding bear","https://fwp.mt.gov/buyandapply/hunting-licenses/resident-licenses/fees"
"MT","General Deer License","Any","General","Big Game","Annual","","","True","General deer license; hunting district declared","https://fwp.mt.gov/buyandapply/hunting-licenses/resident-licenses/fees"
"MT","General Elk License","Any","General","Big Game","Annual","","","True","General elk license; hunting district declared","https://fwp.mt.gov/buyandapply/hunting-licenses/resident-licenses/fees"
"MT","Antelope License (Draw)","Any","General","Big Game","Annual","","","True","Limited entry antelope license via draw","https://fwp.mt.gov/buyandapply/hunting-licenses/resident-licenses/fees"
"MT","Deer B License","Any","General","Big Game","Annual","","","True","Secondary antlerless deer license for specific districts","https://fwp.mt.gov/buyandapply/hunting-licenses/resident-licenses/fees"
"MT","Elk B License","Any","General","Big Game","Annual","","","True","Secondary antlerless elk license for specific districts","https://fwp.mt.gov/buyandapply/hunting-licenses/resident-licenses/fees"
"MT","Black Bear License","Any","General","Big Game","Annual","","","False","Black bear hunting license","https://fwp.mt.gov/buyandapply/hunting-licenses/resident-licenses/fees"
"MT","Turkey License","Any","General","Big Game","Annual","","","False","Wild turkey hunting license","https://fwp.mt.gov/buyandapply/hunting-licenses/resident-licenses/fees"
"MT","Upland Game Bird License","Any","General","General Hunting","Annual","","","False","License covering upland birds (pheasant grouse partridge)","https://fwp.mt.gov/buyandapply/hunting-licenses/resident-licenses/fees"
"MT","Mountain Lion License","Any","General","Big Game","Annual","","","False","Mountain lion hunting license","https://fwp.mt.gov/buyandapply/hunting-licenses/resident-licenses/fees"
"NH","Resident Hunting License","Resident","General","General Hunting","Annual","1909","","False","Standard annual hunting license for NH residents","https://www.wildlife.nh.gov/licenses-and-permits/nh-license-requirements"
"NH","Resident Combination Hunting and Fishing License","Resident","General","Combo Hunt+Fish","Annual","","","False","Resident combo hunting and fishing","https://www.wildlife.nh.gov/licenses-and-permits/nh-license-requirements"
"NH","Nonresident Hunting License","Nonresident","General","General Hunting","Annual","1909","","False","Annual hunting license for nonresidents","https://www.wildlife.nh.gov/licenses-and-permits/nh-license-requirements"
"NH","Nonresident Small Game License","Nonresident","General","General Hunting","Annual","","","False","Small game only license for nonresidents","https://www.wildlife.nh.gov/licenses-and-permits/nh-license-requirements"
"NH","Nonresident 3-Day Small Game License","Nonresident","General","General Hunting","3-day","","","False","Three-day small game license for nonresidents","https://www.wildlife.nh.gov/licenses-and-permits/nh-license-requirements"
"NH","Senior Combination License (68+)","Resident","Senior","Combo Hunt+Fish","Annual","","","False","Reduced-fee combo for residents 68+","https://www.wildlife.nh.gov/licenses-and-permits/nh-license-requirements"
"NH","Permanent/Milestone License","Resident","Senior","General Hunting","Lifetime","","","False","Free license for NH residents born 1947 or earlier","https://www.wildlife.nh.gov/licenses-and-permits/nh-license-requirements"
"NH","Lifetime License","Resident","General","General Hunting","Lifetime","","","False","Age-tiered lifetime license for residents. Newborn combo available for $300.","https://www.wildlife.nh.gov/licenses-and-permits/nh-license-requirements"
"NH","Apprentice Hunting License","Any","Apprentice","General Hunting","Annual","","","False","For first-time hunters; must hunt with licensed mentor","https://www.wildlife.nh.gov/licenses-and-permits/nh-license-requirements"
"NH","Disabled Veteran/Paraplegic License","Any","Disabled","General Hunting","Annual","","","False","Free license for qualifying disabled veterans and paraplegics","https://www.wildlife.nh.gov/licenses-and-permits/nh-license-requirements"
"NY","Resident Hunting License","Resident","General","General Hunting","Annual","1908","","False","Standard annual hunting license for NY residents","https://dec.ny.gov/regulatory/permits-licenses/sporting-and-use/sporting/hunting-license"
"NY","Nonresident Hunting License","Nonresident","General","General Hunting","Annual","1908","","False","Annual hunting license for nonresidents","https://dec.ny.gov/regulatory/permits-licenses/sporting-and-use/sporting/hunting-license"
"NY","Resident Junior Hunting License (12-15)","Resident","Junior","General Hunting","Annual","","","False","Reduced-fee license for resident hunters ages 12-15","https://dec.ny.gov/regulatory/permits-licenses/sporting-and-use/sporting/hunting-license"
"NY","Nonresident Junior Hunting License","Nonresident","Junior","General Hunting","Annual","","","False","Junior hunting license for nonresident youth","https://dec.ny.gov/regulatory/permits-licenses/sporting-and-use/sporting/hunting-license"
"NY","Lifetime Hunting License","Resident","General","General Hunting","Lifetime","","","False","Must be purchased under age 16; valid for life","https://dec.ny.gov/regulatory/permits-licenses/sporting-and-use/sporting/hunting-license"
"NY","Sportsman License","Any","General","Sportsman","Annual","","","False","Includes hunting plus archery and muzzleloading privileges","https://dec.ny.gov/regulatory/permits-licenses/sporting-and-use/sporting/hunting-license"
"NY","Active Military Free Hunting License","Any","Military","General Hunting","Annual","","","False","Free hunting license for active duty military","https://dec.ny.gov/regulatory/permits-licenses/sporting-and-use/sporting/hunting-license"
"NY","Disabled Veteran (40%+) Free License","Any","Veteran","General Hunting","Annual","","","False","Free license for veterans with 40%+ disability rating","https://dec.ny.gov/regulatory/permits-licenses/sporting-and-use/sporting/hunting-license"
"NY","Senior (70+) Free License","Resident","Senior","General Hunting","Annual","","","False","Free hunting license for NY residents age 70 and older","https://dec.ny.gov/regulatory/permits-licenses/sporting-and-use/sporting/hunting-license"
"NY","Legally Blind Free License","Any","Disabled","General Hunting","Annual","","","False","Free hunting license for legally blind hunters","https://dec.ny.gov/regulatory/permits-licenses/sporting-and-use/sporting/hunting-license"
"NC","Resident State Hunting License","Resident","General","General Hunting","Annual","1935","","False","Base annual hunting license for NC residents","https://www.ncwildlife.gov/hunting/hunting-licenses"
"NC","Resident Comprehensive Hunting License","Resident","General","General Hunting","Annual","","","False","Adds big game and waterfowl to base; equivalent to full hunting license","https://www.ncwildlife.gov/hunting/hunting-licenses"
"NC","Nonresident State Hunting License","Nonresident","General","General Hunting","Annual","1935","","False","Annual hunting license for nonresidents","https://www.ncwildlife.gov/hunting/hunting-licenses"
"NC","Nonresident 10-Day Hunting License","Nonresident","General","General Hunting","10-day","","","False","Short-term 10-day license for nonresidents; reciprocal with GA/SC/TN/VA","https://www.ncwildlife.gov/hunting/hunting-licenses"
"NC","Resident Sportsman License","Resident","General","Sportsman","Annual","","","False","All-inclusive annual sportsman license for residents","https://www.ncwildlife.gov/hunting/hunting-licenses"
"NC","Resident Unified Sportsman License","Resident","General","Sportsman","Annual","","","False","Comprehensive all-activities license for residents","https://www.ncwildlife.gov/hunting/hunting-licenses"
"NC","Lifetime Comprehensive Hunting License","Resident","General","General Hunting","Lifetime","","","False","One-time purchase lifetime license for residents","https://www.ncwildlife.gov/hunting/hunting-licenses"
"NC","Senior Sportsman License (Lifetime)","Resident","Senior","Sportsman","Lifetime","","","False","Lifetime sportsman license for qualifying seniors","https://www.ncwildlife.gov/hunting/hunting-licenses"
"NC","Totally Disabled Sportsman License","Any","Disabled","Sportsman","Annual","","","False","Free annual sportsman license for totally disabled hunters","https://www.ncwildlife.gov/hunting/hunting-licenses"
"NC","Disabled Veteran Sportsman License","Any","Veteran","Sportsman","Annual","","","False","Free annual sportsman license for qualifying disabled veterans","https://www.ncwildlife.gov/hunting/hunting-licenses"
"NC","State Trapping License","Any","General","Trapping/Furbearer","Annual","","","False","License for trapping furbearing animals","https://www.ncwildlife.gov/hunting/hunting-licenses"
"NC","Falconry Hunting License","Any","General","Other","Annual","","","False","License for hunting with falconry; Other activity scope as it is specialized","https://www.ncwildlife.gov/hunting/hunting-licenses"
"OH","Resident Hunting License","Resident","General","General Hunting","Annual","1913","","False","Standard annual hunting license for OH residents. First issued Sep 27 1913.","https://wildlife.ohiodnr.gov/"
"OH","Nonresident Hunting License","Nonresident","General","General Hunting","Annual","1913","","False","Annual hunting license for nonresidents","https://wildlife.ohiodnr.gov/"
