"state_name","state_abbrev","state_fips","min_license_year","min_year_confidence","min_year_source","issuance_scope","issuance_unit_type","issuance_unit_label","agency_name","agency_name_historical","licensing_start_year","licensing_start_source","notes","added_date"
"Massachusetts","MA","25","1909","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","Massachusetts Division of Fisheries and Wildlife","Commissioners on Fisheries and Game","1909","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known MA hunting credential is the 1909 Resident Hunter's Certificate (collector records); the 1780 MA fishing license is a fishing document, not hunting. Agency founded 1866 as a state fisheries commission, game added to its authority 1886, Commissioners on Fisheries and Game from 1902, replaced Dec 1 1919 by the Division of Fisheries and Game, renamed Division of Fisheries and Wildlife in 1974. Licenses have long been sold through city and town clerks, which is the true historical point of issue. Modern management is by 15 Wildlife Management Zones; counties are listed here as the durable geographic unit. 14 counties.","2026-08-27"
"Connecticut","CT","09","1907","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","Connecticut Department of Energy and Environmental Protection Wildlife Division","","1907","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known CT hunting license is the 1907-08 Resident License to Hunt (collector records). Licenses and stamps are sold through DEEP, most town clerks and outdoor retailers; town clerk issuance is the historical point of sale. Licenses run the calendar year. Deer permits are split by land type (state land lottery, state land no-lottery, private land) and by weapon rather than by county. CT counties were retained only as geographic areas and the Census adopted 9 planning regions as county equivalents in 2022; the 8 legacy counties are listed here as the durable historical unit. Historical agency name not verified in this pass.","2026-08-27"
"Rhode Island","RI","44","1916","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","Rhode Island Department of Environmental Management Division of Fish and Wildlife","","1916","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known RI hunting license is the 1916 Resident Hunter's Certificate (collector records); the 1807 RI cod fishing license is a commercial fishing document, not hunting. License year runs March 1 through the last day of February. Licenses are sold at the DEM Providence licensing office, most city and town clerks and sporting goods stores. Deer permits are antler, weapon and zone specific and one permit is required per animal harvested. Only 5 counties. Historical agency name not verified in this pass.","2026-08-27"
"South Carolina","SC","45","1916","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","South Carolina Department of Natural Resources","","1916","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known SC hunting licenses are 1916-17 county licenses from Horry and Richland Counties (collector records), confirming county-based issuance from the outset. The modern base license is statewide with a separate Big Game Permit required for bear, deer and turkey. Four Game Zones set season structure; bear tags are Game Zone 1 (Mountains) only. Hunter education required for anyone born after June 30 1979. 46 counties. Historical agency name not verified in this pass.","2026-08-27"
"Alabama","AL","01","1917","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","Alabama Department of Conservation and Natural Resources Division of Wildlife and Freshwater Fisheries","Alabama Department of Conservation","1917","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known AL hunting license is the 1917 Alabama County Hunter's License (collector records), confirming county-based issuance. ADCNR was formed in 1971, succeeding the Alabama Department of Conservation. License year ends August 31. Licenses are issued through county Probate Offices and License Commissioners as well as agents and online, so the county remains the point of issue. Residents 65 and over are exempt from hunting, WMA and state duck stamp fees; optional 65-plus licenses exist for those who wish to contribute. 67 counties.","2026-08-27"
"Mississippi","MS","28","1926","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","Mississippi Department of Wildlife, Fisheries, and Parks","","1926","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known MS hunting license is the 1926-27 Mississippi County Hunting License (collector records); the actual statutory requirement may be earlier and the 1926 floor should be treated as a specimen floor rather than a first-year. Licenses are sold at county circuit clerk offices as well as agents and online. All deer, turkey and hog hunters must hold either an All Game Hunting/Fishing or a Sportsman's License. 82 counties, the largest county set among the ten states added in this pass. Historical agency name not verified in this pass.","2026-08-27"
"Florida","FL","12","1917","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","Florida Fish and Wildlife Conservation Commission","","1917","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known FL hunting license is the 1917-18 Florida Nonresident County Hunter's License (collector records); a resident county license very likely ran alongside it but no specimen is recorded in this source. Licenses are sold through county tax collectors' offices as well as agents and Go Outdoors Florida, so the county remains the point of issue. The license exemption applies to persons hunting in their county of residence on their own homestead, which keeps county on the face of the regulation. 67 counties. Historical agency name not verified in this pass.","2026-08-27"
"Arkansas","AR","05","1913","high","https://waterfowlstampsandmore.com/1913-hunting-and-fishing-licenses-in-historical-context-part-three/","county","County","County","Arkansas Game and Fish Commission","","1913","https://waterfowlstampsandmore.com/1913-hunting-and-fishing-licenses-in-historical-context-part-three/","AR was one of five states to issue its first resident hunting license in 1913 (with AZ, DE, OH and PA); the earliest known specimen is a 1913 Arkansas County Hunting License, confirming county-based issuance in the first year. License year ends June 30. AGFC prints short product codes on licenses (CS, RS, HNT, NBG, AG3, DSR and similar) which are useful identifiers on modern issues. Deer, turkey and bear tags are bundled with the base Sportsman's License rather than sold separately. 75 counties. Historical agency name not verified in this pass.","2026-08-27"
"Alaska","AK","02","1922","low","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","Borough or Census Area","Borough","Alaska Department of Fish and Game","","","","FLOOR UNVERIFIED. The earliest Alaska items recorded in the collector gallery are a 1922 Territory of Alaska Nonresident Fisherman's License and a 1927-28 Alaska Resident Trapping License - neither is a hunting license, so the hunting floor is genuinely unknown and 1922 should be read as an any-license floor only. Alaska's real hunting geography is its 26 numbered Game Management Units, not boroughs; GMUs appear on harvest tickets and permits. Boroughs and census areas are listed here as the Census county-equivalents. Structure: hunting licence, free harvest tickets for general-season big game, species locking-tags (required of nonresidents and of residents for brown/grizzly bear and muskox), plus drawing, registration and Tier I/II subsistence permits. 30 county-equivalents; Valdez-Cordova was abolished 2 Jan 2019 and split into Chugach and Copper River.","2026-08-28"
"Arizona","AZ","04","1913","high","https://waterfowlstampsandmore.com/1913-hunting-and-fishing-licenses-in-historical-context-part-three/","county","County","County","Arizona Game and Fish Department","","1913","https://waterfowlstampsandmore.com/1913-hunting-and-fishing-licenses-in-historical-context-part-three/","AZ was one of five states to issue its first resident hunting license in 1913 (with AR, DE, OH and PA); earliest known specimen is a 1913 Arizona Hunting License. Licenses run 365 days from purchase. There is no standalone nonresident hunting-only license - nonresidents buy the Combination Hunt and Fish. Big game requires a hunt permit-tag, mostly allocated through three annual draw cycles; fall bear, archery turkey, archery deer and mountain lion are non-permit tags. AZGFD is funded by licence and tag revenue rather than the state general fund. Only 15 counties. Historical agency name not verified in this pass.","2026-08-28"
"California","CA","06","1907","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","California Department of Fish and Wildlife","","1907","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known CA hunting licenses are the Type I and Type II 1907-08 California Hunting Licenses, issued as metal badges rather than paper - a distinctive and highly collectible form. California contracted J.M. Patrick of San Francisco to produce its first licenses, and later chromolithographed pictorial licenses (Mysell-Rollins 1914-15, Schwabacher-Frey 1923-24) are believed to have inspired the first federal waterfowl stamp. License year runs July 1 - June 30. CA uses validations rather than stamps (Upland Game Bird, California Duck, Wild Pig) and a lettered deer zone system (A, B, C, D, X) with general, restricted and premium tag categories. 58 counties. Historical agency name not verified in this pass.","2026-08-28"
"Hawaii","HI","15","1911","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","Hawaii Department of Land and Natural Resources Division of Forestry and Wildlife","","1911","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known HI hunting credentials are 1911-12 County of Hawaii, County of Honolulu and County of Maui Hunting Permits, plus a 1921-22 County of Kauai Hunting License - Hawaii issued at the county level from the outset, and the county name is printed on the artifact. Note these are Territory-era documents; Hawaii did not become a state until 1959. 5 counties, including Kalawao, the smallest county in the US, administered by the Department of Health. Modern license products not researched in this pass.","2026-08-28"
"Idaho","ID","16","1906","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","Idaho Department of Fish and Game","","1906","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known ID credential is the 1906 Idaho Fish and Game License (collector records). Calendar-year licenses. The Resident Sportsman's Package bundles a combination license with deer, elk, bear, mountain lion, wolf, turkey, salmon and steelhead tags, with archery and muzzleloader validated on the license itself. A Depredation Management/Access fee is applied to all annual hunting, fishing and trapping licenses. Idaho runs a Price Lock discount for residents with continuous purchase history. 44 counties. Historical agency name not verified in this pass.","2026-08-28"
"Louisiana","LA","22","1908","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","Parish","Parish","Louisiana Department of Wildlife and Fisheries","","1908","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known LA credential is the 1908 Louisiana License to Hunt (collector records). LOUISIANA USES PARISHES, NOT COUNTIES - 64 parishes, the only state in the dataset with this unit type. Structure is a Basic Hunting License plus stacked special licenses (Deer, Turkey, Waterfowl) and a WMA Access Permit; the Sportsman's Paradise License bundles all of them with fishing. Residents 60 and over must instead hold a Senior Hunting/Fishing License, free for those born before June 1 1940. Nonresidents born in Louisiana may buy Nonresident Native licenses valid ten consecutive days. Historical agency name not verified in this pass.","2026-08-28"
"Nebraska","NE","31","1901","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","Nebraska Game and Parks Commission","","1901","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known NE credential is the 1901 Nebraska License to Hunt and Fish (collector records); a sheet-type 1913 Nebraska License to Fish and Hunt is also recorded. 93 counties. Modern license products not researched in this pass. Historical agency name not verified in this pass.","2026-08-28"
"Nevada","NV","32","1909","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","Nevada Department of Wildlife","","1909","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known NV credentials are 1909-10 licenses including a Nonresident Hunting License, a Duplicate Hunting License and county-issued examples from Lyon County and (probably) White Pine County - so Nevada issued at county level in this era and the county name appears on the artifact. 16 counties plus Carson City, a consolidated municipality independent of any county. Modern license products not researched in this pass. Historical agency name not verified in this pass.","2026-08-28"
"New Mexico","NM","35","1909","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","New Mexico Department of Game and Fish","","1909","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known NM credentials are the 1909 Territory of New Mexico Bird Hunting License and 1909 Territory of New Mexico General Hunting License, followed by 1912 State of New Mexico licenses. The territorial-to-state transition in 1912 is printed on the documents and is a meaningful collecting distinction: pre-1912 items read 'Territory of New Mexico'. 33 counties. Modern license products not researched in this pass. Historical agency name not verified in this pass.","2026-08-28"
"North Dakota","ND","38","1898","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","North Dakota Game and Fish Department","","1898","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known ND credential is the 1898 North Dakota Resident Hunting Permit (collector records) - among the earliest resident hunting documents recorded for any state, predating all but Michigan (1895), Wisconsin (1897) and a handful of others. 53 counties. Modern license products not researched in this pass. Historical agency name not verified in this pass.","2026-08-28"
"Oklahoma","OK","40","1909","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","Oklahoma Department of Wildlife Conservation","","1909","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known OK credential is the 1909-10 Oklahoma Resident License to Hunt (collector records), issued only two years after statehood in 1907. Structure is an annual hunting license plus separate species licenses for deer, elk, antelope, bear and turkey, an Oklahoma waterfowl license, HIP permit and a land access permit for designated areas. The lifetime hunting license was discontinued as of July 1 2024, which fixes a hard end date on that product. 77 counties. Historical agency name not verified in this pass.","2026-08-28"
"Oregon","OR","41","1905","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","Oregon Department of Fish and Wildlife","","1905","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known OR credentials are 1905 county hunter's licenses from Jackson, Marion and Wasco Counties - Oregon issued at county level in this era and the county name appears on the artifact. Structure is an annual hunting license plus species tags and validations; the Sports Pac bundles hunting, angling and shellfish licenses with deer, elk, bear and cougar tags and the upland bird validation. Oregon has distinctive senior categories: a Senior license at 70 with 5 years residency, and a Pioneer Combination at 65 with 50 years residency. 36 counties. Historical agency name not verified in this pass.","2026-08-28"
"South Dakota","SD","46","1903","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","South Dakota Game, Fish and Parks","","1903","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known SD credential is a 1903 South Dakota Hunter's License, with a recorded Deadwood example (collector records). 66 counties - note Shannon County was renamed Oglala Lakota County in 2015 and its FIPS code changed from 46113 to 46102, so pre-2015 artifacts will read Shannon. Modern license products not researched in this pass. Historical agency name not verified in this pass.","2026-08-28"
"Utah","UT","49","1908","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","Utah Division of Wildlife Resources","","1908","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known UT credential is the 1908 Utah Permit to Hunt and Fish (collector records). Utah draws a hard distinction between licenses and permits: a hunting license or combination license is required first, and species hunts need a separate permit obtained over the counter or through a draw. Licenses are valid 365 days from purchase, with multiyear options. Deer and elk permits are split into general-season (preference points) and limited-entry (50/50 points and random) tiers. 29 counties. Historical agency name not verified in this pass.","2026-08-28"
"Washington","WA","53","1901","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","Washington Department of Fish and Wildlife","","1901","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known WA hunting credentials are the 1901-02 Pierce County and 1901 Whatcom County Hunter's Licenses - Washington issued at county level in this era and the county name appears on the artifact. Earlier 1899-1900 Washington items are commercial fishing licenses, not hunting. License year runs April 1 - March 31. WDFW sells big game as bundled species packages rather than standalone tags, and issues transport tags plus a Migratory Bird Authorization and Harvest Record Card. 39 counties. Historical agency name not verified in this pass.","2026-08-28"
