"state_abbrev","addon_name","addon_type","target_species","hunting_method","is_federal","is_mandatory","approx_first_year","approx_last_year","notes","source_url","added_date","first_year_source"
"IA","Deer Tag (Any-Sex County-Specific)","Tag","Deer","Any","False","False","","","County-specific deer tag; any-sex quota applies","https://www.iowadnr.gov/things-do/hunting-trapping/types-hunting-trapping/deer-hunting","",""
"IA","Antlerless Deer Tag (County Quota)","Tag","Deer","Any","False","False","","","Antlerless-only deer tag with county quotas","https://www.iowadnr.gov/things-do/hunting-trapping/types-hunting-trapping/deer-hunting","",""
"IA","Turkey Tag (Zone/Season)","Tag","Turkey","Any","False","False","","","Turkey tag specific to zone and season","https://www.iowadnr.gov/things-do/hunting-trapping/types-hunting-trapping/deer-hunting","",""
"IA","IA Migratory Game Bird Fee","Habitat Fee","Multiple","Any","False","True","","","Required fee for all migratory game bird hunters","https://www.iowadnr.gov/things-do/hunting-trapping/types-hunting-trapping/deer-hunting","",""
"IA","Habitat Fee","Habitat Fee","Any","Any","False","True","","","Mandatory habitat fee ($16) required for all hunters","https://www.iowadnr.gov/things-do/hunting-trapping/types-hunting-trapping/deer-hunting","",""
"KS","Deer Archery Tag","Tag","Deer","Archery","False","False","","","Archery deer tag. Draw/OTC acquisition variants merged 2026-08-03 - not determinable from the artifact.","https://ksoutdoors.gov/Hunting/Applications-and-Fees/Deer","",""
"KS","Deer Firearm Tag","Tag","Deer","Firearm","False","False","","","Draw-only firearm deer tag by DMU. Draw/OTC acquisition variants merged 2026-07-10 - not determinable from the artifact.","https://ksoutdoors.gov/Hunting/Applications-and-Fees/Deer","",""
"KS","Antlerless Whitetail Tag","Tag","Deer","Any","False","False","","","Antlerless whitetail tag; DMU-specific. Draw/OTC acquisition variants merged 2026-08-03 - not determinable from the artifact.","https://ksoutdoors.gov/Hunting/Applications-and-Fees/Deer","",""
"KS","Mule Deer Stamp","Stamp","Deer","Any","False","False","","","Draw-only mule deer harvest authorization. Draw/OTC acquisition variants merged 2026-07-10 - not determinable from the artifact.","https://ksoutdoors.gov/Hunting/Applications-and-Fees/Deer","",""
"KS","Spring Turkey Tag","Tag","Turkey","Any","False","False","","","Required for spring turkey season","https://ksoutdoors.gov/Hunting/Applications-and-Fees/Deer","",""
"KS","Fall Turkey Tag","Tag","Turkey","Any","False","False","","","Required for fall turkey season","https://ksoutdoors.gov/Hunting/Applications-and-Fees/Deer","",""
"KS","Antelope Tag","Tag","Pronghorn","Any","False","False","","","Draw-only pronghorn antelope tag. Draw/OTC acquisition variants merged 2026-07-10 - not determinable from the artifact.","https://ksoutdoors.gov/Hunting/Applications-and-Fees/Deer","",""
"KS","Elk Tag","Tag","Elk","Any","False","False","","","Draw-only elk tag; very limited quota in KS. Draw/OTC acquisition variants merged 2026-07-10 - not determinable from the artifact.","https://ksoutdoors.gov/Hunting/Applications-and-Fees/Deer","",""
"KS","KS Waterfowl Stamp","Stamp","Duck","Any","False","False","1987","","State waterfowl stamp required in addition to federal","https://ksoutdoors.gov/Hunting/Applications-and-Fees/Deer","","https://waterfowlstampsandmore.com/galleries/first-of-state-duck-stamp-prints-300-dpi/"
"KS","Sandhill Crane Permit","Permit","Sandhill Crane","Any","False","False","","","Special permit for sandhill crane season","https://ksoutdoors.gov/Hunting/Applications-and-Fees/Deer","",""
"KY","Deer Permit","Permit","Deer","Any","False","False","","","Required to harvest deer in Kentucky","https://fw.ky.gov/Hunt/Pages/Licenses-and-Permits.aspx","",""
"KY","Bonus Deer Permit","Permit","Deer","Any","False","False","","","Additional antlerless deer permit beyond base allocation","https://fw.ky.gov/Hunt/Pages/Licenses-and-Permits.aspx","",""
"KY","Spring Turkey Permit","Permit","Turkey","Any","False","False","","","Required for spring turkey season","https://fw.ky.gov/Hunt/Pages/Licenses-and-Permits.aspx","",""
"KY","Fall Turkey Permit","Permit","Turkey","Any","False","False","","","Required for fall turkey season","https://fw.ky.gov/Hunt/Pages/Licenses-and-Permits.aspx","",""
"KY","Bear Permit","Permit","Bear","Any","False","False","","","Required for black bear harvest; some zones draw-only","https://fw.ky.gov/Hunt/Pages/Licenses-and-Permits.aspx","",""
"KY","Elk Permit","Permit","Elk","Any","False","False","","","Elk permit; limited to eastern KY zones. Draw/OTC acquisition variants merged 2026-08-03 - not determinable from the artifact.","https://fw.ky.gov/Hunt/Pages/Licenses-and-Permits.aspx","",""
"KY","Migratory Game Bird / Waterfowl Permit","Permit","Duck","Any","False","False","","","Required for migratory game bird hunting in KY","https://fw.ky.gov/Hunt/Pages/Licenses-and-Permits.aspx","",""
"ME","Muzzleloader Permit","Permit","Deer","Muzzleloader","False","False","","","Required for muzzleloader deer season","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html","",""
"ME","Crossbow Permit","Permit","Deer","Archery","False","False","","","Required for crossbow hunting; treated as archery","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html","",""
"ME","Bear Permit","Permit","Bear","Any","False","False","","","Required to hunt black bear in Maine","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html","",""
"ME","Spring Turkey Permit","Permit","Turkey","Any","False","False","","","Required for spring turkey season; limited quota","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html","",""
"ME","Fall Turkey Permit","Permit","Turkey","Any","False","False","","","Required for fall turkey season","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html","",""
"ME","Moose Permit (Lottery)","Permit","Moose","Any","False","False","","","Annual lottery for moose hunting permits","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html","",""
"ME","Moose Permit (Auction)","Permit","Moose","Any","False","False","","","A small number of moose permits auctioned annually for conservation funding","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html","",""
"ME","Antlerless Deer Permit (Lottery)","Permit","Deer","Any","False","False","","","Lottery-based permit to harvest antlerless deer","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html","",""
"ME","Expanded Archery Antlerless Deer Permit","Permit","Deer","Archery","False","False","","","Archery antlerless permit for expanded archery zones","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html","",""
"ME","Pheasant Hunting Authority","Permit","Pheasant","Any","False","False","","","Required to hunt stocked pheasants in Maine","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html","",""
"ME","ME Migratory Waterfowl Permit","Permit","Duck","Any","False","False","1984","","State permit required for waterfowl hunting","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html","","https://waterfowlstampsandmore.com/galleries/first-of-state-duck-stamp-prints-300-dpi/"
"ME","Coyote Night Hunt Permit","Permit","Coyote","Any","False","False","","","Required for nighttime coyote hunting","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html","",""
"MD","MD Migratory Game Bird Stamp","Stamp","Migratory Birds","Any","False","True","1974","2024","MD state migratory game bird (duck) stamp program began 1974; 50th and final design contest 2023-24; physical stamp discontinued (printed receipt + decal). Confidence: high.","https://www.chesapeakebaymagazine.com/50th-md-migratory-game-bird-stamp-winner-named-at-waterfowl-festival/","",""
"MD","Archery Stamp","Stamp","Deer","Archery","False","False","","","MD Archery Deer Stamp first-year not verified (2026-07-10 research pass). Confidence: low.","https://dnr.maryland.gov/pages/service_hunting_license.aspx","",""
"MD","Muzzleloader Stamp","Stamp","Deer","Muzzleloader","False","False","","","MD Muzzleloader Deer Stamp first-year not verified (2026-07-10 research pass). Confidence: low.","https://dnr.maryland.gov/pages/service_hunting_license.aspx","",""
"MD","Bonus Antlered Deer Stamp","Stamp","Antlered Deer","Any","False","False","","","Allows one additional antlered whitetail (Region B); first-year not verified. Confidence: low.","https://www.eregulations.com/maryland/hunting/deer-seasons-bag-limits","",""
"MD","Sika Deer Stamp","Stamp","Sika Deer","Any","False","False","","","Annual Sika Deer Stamp required to hunt sika deer (Eastern Shore); relatively recent (NR sika stamp added 2024-25); first-year not verified. Confidence: low.","https://www.eregulations.com/maryland/hunting/deer-seasons-bag-limits","",""
"MD","Furbearer Permit","Permit","Furbearer","Any","False","True","","","Required to hunt/trap/chase furbearers; first-year not verified. Confidence: low.","https://dnr.maryland.gov/pages/service_hunting_license.aspx","",""
"MD","Black Bear Hunting Permit","Permit","Bear","Any","False","True","2004","","MD resumed black bear hunting 2004 (first season in 51 years; 200 permits, 20 bears). Lottery-issued. Confidence: high.","https://www.washingtonexaminer.com/news/3086677/maryland-opens-bear-hunt-lottery/","",""
"MD","Snow Goose Conservation Order Permit","Permit","Snow Goose","Any","False","True","2009","","$5 permit; Atlantic Flyway conservation order implemented spring 2009 (distinct from the 1999 mid-continent order). Confidence: high.","https://dnr.maryland.gov/wildlife/documents/2019-af_lightgeeseassessment.pdf","",""
"MI","Deer License (Firearm)","License","Deer","Firearm","False","False","","","Standalone firearm-deer license/tag; distinct purchasable privilege artifact, not the base license (R5 audit).","https://www.eregulations.com/michigan/hunting/licenses-fees","",""
"MI","Deer Combo License","Permit","Deer","Any","False","False","","","Covers both firearm and archery deer seasons","https://www.eregulations.com/michigan/hunting/licenses-fees","",""
"MI","Antlerless Deer License","Permit","Deer","Any","False","False","","","Required to harvest antlerless deer; DMU-specific quotas","https://www.eregulations.com/michigan/hunting/licenses-fees","",""
"MI","Spring Turkey License","Permit","Turkey","Any","False","False","","","Required for spring turkey season","https://www.eregulations.com/michigan/hunting/licenses-fees","",""
"MI","Fall Turkey License","Permit","Turkey","Any","False","False","","","Required for fall turkey season","https://www.eregulations.com/michigan/hunting/licenses-fees","",""
"MI","Bear License","Permit","Bear","Any","False","False","","","Required for black bear hunting; some zones draw-only","https://www.eregulations.com/michigan/hunting/licenses-fees","",""
"MI","Elk License (Lottery)","Permit","Elk","Any","False","False","","","Lottery draw elk license; very limited quota in UP and northern LP","https://www.eregulations.com/michigan/hunting/licenses-fees","",""
"MI","Waterfowl License","Permit","Duck","Any","False","False","1976","","Required for waterfowl hunting in Michigan","https://www.eregulations.com/michigan/hunting/licenses-fees","","https://waterfowlstampsandmore.com/galleries/first-of-state-duck-stamp-prints-300-dpi/"
"MI","DMAP Antlerless Tags","Tag","Deer","Any","False","False","","","Deer Management Assistance Program tags for private land antlerless harvest","https://www.eregulations.com/michigan/hunting/licenses-fees","",""
"MN","Antlerless Deer Bonus Tag","Tag","Deer","Any","False","False","","","Bonus tag for antlerless deer; DPA-specific quotas","https://www.eregulations.com/minnesota/hunting/hunting-licenses-and-fees","",""
"MN","Bear License","Permit","Bear","Any","False","False","","","Required for black bear hunting; some zones have quotas","https://www.eregulations.com/minnesota/hunting/hunting-licenses-and-fees","",""
"MN","Turkey License","Permit","Turkey","Any","False","False","","","Required for wild turkey hunting","https://www.eregulations.com/minnesota/hunting/hunting-licenses-and-fees","",""
"MN","Elk License (Lottery)","Permit","Elk","Any","False","False","","","Very limited lottery draw elk license","https://www.eregulations.com/minnesota/hunting/hunting-licenses-and-fees","",""
"MN","Waterfowl Stamp","Stamp","Duck","Any","False","False","1977","","State waterfowl stamp required in addition to federal duck stamp","https://www.eregulations.com/minnesota/hunting/hunting-licenses-and-fees","","https://waterfowlstampsandmore.com/galleries/first-of-state-duck-stamp-prints-300-dpi/"
"MN","Pheasant Stamp","Stamp","Pheasant","Any","False","False","","","State pheasant stamp supporting habitat programs","https://www.eregulations.com/minnesota/hunting/hunting-licenses-and-fees","",""
"MN","Apprentice Hunter Validation","Other","Any","Any","False","False","","","Validation required for apprentice hunters","https://www.eregulations.com/minnesota/hunting/hunting-licenses-and-fees","",""
"MO","Deer Firearms Any-Deer Permit","Permit","Deer","Firearm","False","False","","","Required for firearm deer season; allows either-sex harvest","https://mdc.mo.gov/hunting-trapping/species/deer/deer-permits","",""
"MO","Archery Hunting Permit","Permit","Deer","Archery","False","False","","","Required for archery deer season","https://mdc.mo.gov/hunting-trapping/species/deer/deer-permits","",""
"MO","Antlerless Deer Permit (County-Specific)","Permit","Deer","Any","False","False","","","Antlerless deer permit with county-specific quotas","https://mdc.mo.gov/hunting-trapping/species/deer/deer-permits","",""
"MO","Spring Turkey Permit","Permit","Turkey","Any","False","False","","","Required for spring turkey season","https://mdc.mo.gov/hunting-trapping/species/deer/deer-permits","",""
"MO","Fall Turkey Permit","Permit","Turkey","Any","False","False","","","Required for fall turkey season","https://mdc.mo.gov/hunting-trapping/species/deer/deer-permits","",""
"MO","Black Bear Permit","Permit","Bear","Any","False","False","","","Lottery draw permit for black bear; residents only. Draw/OTC acquisition variants merged 2026-07-10 - not determinable from the artifact.","https://mdc.mo.gov/hunting-trapping/species/deer/deer-permits","",""
"MO","Elk Permit","Permit","Elk","Any","False","False","","","Lottery draw elk permit; residents only; very limited. Draw/OTC acquisition variants merged 2026-07-10 - not determinable from the artifact.","https://mdc.mo.gov/hunting-trapping/species/deer/deer-permits","",""
"MO","Migratory Bird Permit","Permit","Duck","Any","False","False","","","Required for all migratory game bird hunting in MO","https://mdc.mo.gov/hunting-trapping/species/deer/deer-permits","",""
"MO","Conservation Order Permit","Permit","Goose","Any","False","False","","","Allows extended season snow/light goose hunting","https://mdc.mo.gov/hunting-trapping/species/deer/deer-permits","",""
"MO","Furbearer Permit","Permit","Multiple","Any","False","False","","","Required for trapping and hunting furbearers","https://mdc.mo.gov/hunting-trapping/species/deer/deer-permits","",""
"MT","Bear License","Permit","Bear","Any","False","False","","","Black bear license; some districts OTC some draw","https://fwp.mt.gov/buyandapply/hunting-licenses/resident-licenses/fees","",""
"MT","Moose License","Permit","Moose","Any","False","False","","","Limited draw moose license; very competitive. Draw/OTC acquisition variants merged 2026-07-10 - not determinable from the artifact.","https://fwp.mt.gov/buyandapply/hunting-licenses/resident-licenses/fees","",""
"MT","Bighorn Sheep License","Permit","Bighorn Sheep","Any","False","False","","","Very limited draw bighorn sheep license. Draw/OTC acquisition variants merged 2026-07-10 - not determinable from the artifact.","https://fwp.mt.gov/buyandapply/hunting-licenses/resident-licenses/fees","",""
"MT","Mountain Goat License","Permit","Mountain Goat","Any","False","False","","","Very limited draw mountain goat license. Draw/OTC acquisition variants merged 2026-07-10 - not determinable from the artifact.","https://fwp.mt.gov/buyandapply/hunting-licenses/resident-licenses/fees","",""
"MT","Bison License","Permit","Bison","Any","False","False","","","Extremely limited draw bison license. Draw/OTC acquisition variants merged 2026-07-10 - not determinable from the artifact.","https://fwp.mt.gov/buyandapply/hunting-licenses/resident-licenses/fees","",""
"MT","Wolf License","Permit","Wolf","Any","False","False","","","Required for wolf harvest where season is open","https://fwp.mt.gov/buyandapply/hunting-licenses/resident-licenses/fees","",""
"MT","Bow and Arrow License","Permit","Any","Archery","False","False","","","Required for archery-only seasons","https://fwp.mt.gov/buyandapply/hunting-licenses/resident-licenses/fees","",""
"MT","Migratory Bird License","Permit","Duck","Any","False","False","","","Required for all migratory bird hunting in MT","https://fwp.mt.gov/buyandapply/hunting-licenses/resident-licenses/fees","",""
"NH","Archery License","Permit","Deer","Archery","False","False","","","Required for archery deer season","https://www.wildlife.nh.gov/licenses-and-permits/nh-license-requirements","",""
"NH","Muzzleloader License","Permit","Deer","Muzzleloader","False","False","","","Required for muzzleloader deer season","https://www.wildlife.nh.gov/licenses-and-permits/nh-license-requirements","",""
"NH","Turkey Permit","Permit","Turkey","Any","False","False","","","Required for spring and fall turkey seasons","https://www.wildlife.nh.gov/licenses-and-permits/nh-license-requirements","",""
"NH","NH Migratory Waterfowl License","Permit","Duck","Any","False","False","1983","","State license required for waterfowl hunting","https://www.wildlife.nh.gov/licenses-and-permits/nh-license-requirements","","https://waterfowlstampsandmore.com/galleries/first-of-state-duck-stamp-prints-300-dpi/"
"NH","Unit M/L Special Antlerless Deer Tag","Tag","Deer","Any","False","False","","","Antlerless deer tag specific to WMUs L and M","https://www.wildlife.nh.gov/licenses-and-permits/nh-license-requirements","",""
"NH","Wildlife Habitat Fee","Habitat Fee","Any","Any","False","True","","","Mandatory $2.50 fee for all hunting license purchasers","https://www.wildlife.nh.gov/licenses-and-permits/nh-license-requirements","",""
"NH","Moose Permit (Lottery)","Permit","Moose","Any","False","False","","","Annual lottery draw moose hunting permit","https://www.wildlife.nh.gov/licenses-and-permits/nh-license-requirements","",""
"NY","Bowhunting Privilege","Permit","Deer","Archery","False","False","","","Add-on privilege for archery hunting seasons","https://dec.ny.gov/regulatory/permits-licenses/sporting-and-use/sporting/hunting-license","",""
"NY","Muzzleloading Privilege","Permit","Deer","Muzzleloader","False","False","","","Add-on privilege for muzzleloader hunting seasons","https://dec.ny.gov/regulatory/permits-licenses/sporting-and-use/sporting/hunting-license","",""
"NY","Spring Turkey Permit","Permit","Turkey","Any","False","False","","","Required for spring turkey season","https://dec.ny.gov/regulatory/permits-licenses/sporting-and-use/sporting/hunting-license","",""
"NY","Fall Turkey Permit","Permit","Turkey","Any","False","False","","","Required for fall turkey season","https://dec.ny.gov/regulatory/permits-licenses/sporting-and-use/sporting/hunting-license","",""
"NY","Deer Management Permit (DMP)","Permit","Deer","Any","False","False","","","Antlerless deer permit issued by WMU quota","https://dec.ny.gov/regulatory/permits-licenses/sporting-and-use/sporting/hunting-license","",""
"NC","Big Game Privilege (deer/turkey/bear)","Permit","Multiple","Any","False","False","","","Required add-on for deer turkey and bear hunting","https://www.eregulations.com/northcarolina/hunting/hunting-trapping-licenses","",""
"NC","NC Waterfowl Privilege (State Duck Stamp)","Stamp","Duck","Any","False","False","1983","","State waterfowl permit required for migratory bird hunting","https://www.eregulations.com/northcarolina/hunting/hunting-trapping-licenses","","https://waterfowlstampsandmore.com/galleries/first-of-state-duck-stamp-prints-300-dpi/"
"NC","Bear Management E-Stamp","Stamp","Bear","Any","False","False","","","Electronic stamp required for bear hunting in specific zones","https://www.eregulations.com/northcarolina/hunting/hunting-trapping-licenses","",""
"NC","Bonus Antlerless Deer Tags","Tag","Deer","Archery","False","False","","","Additional antlerless tags for urban archery zones","https://www.eregulations.com/northcarolina/hunting/hunting-trapping-licenses","",""
"OH","Archery Deer Permit","Permit","Deer","Archery","False","False","","","Required for archery deer season","https://wildlife.ohiodnr.gov/","",""
"OH","Deer Gun Permit","Permit","Deer","Firearm","False","True","1943","","Ohio's first modern deer-gun season was 1943 (3 southern counties, 168 deer); deer permit required since. Confidence: high (season floor).","https://www.outdoornews.com/2024/11/28/ohios-deer-gun-season-gets-underway-dec-2-8/","",""
"OH","Deer Muzzleloader Permit","Permit","Deer","Muzzleloader","False","False","","","Required for muzzleloader deer season","https://wildlife.ohiodnr.gov/","",""
"OH","Antlerless Deer Permit","Permit","Deer","Any","False","False","","","Required to harvest antlerless deer","https://wildlife.ohiodnr.gov/","",""
"OH","Spring Turkey Permit","Permit","Turkey","Any","False","True","1966","","Ohio's first modern spring turkey season opened 1966 in nine counties; statewide 2000. Separate spring permit required. Confidence: high.","https://ohiodnr.gov/discover-and-learn/safety-conservation/about-ODNR/news/ohios-spring-wild-turkey-hunting-begins-in-april","",""
"OH","OH Wetlands Habitat Stamp","Stamp","Waterfowl","Any","False","True","1982","","First-of-state stamp authorized by 1981 HB 371; first stamp issued 1982 (Ruthven wood ducks). No earlier OH state duck stamp. Confidence: high.","https://ohiodnr.gov/buy-and-apply/gifts-and-mechandise/wildlife-legacy-stamp/wetlands-habitat-stamp","",""
"PA","Archery Stamp","Stamp","Deer","Archery","False","False","1951","","Archery privilege required since PA's first archery season (1951, $2 archery license). Naming varied (license vs stamp) over time. Confidence: high (privilege floor), low (stamp-name start).","https://www.statecollege.com/articles/local-news/how-things-have-changed-archery-hunting-then-and-now/","",""
"PA","Muzzleloader Stamp","Stamp","Deer","Muzzleloader","False","False","1974","","Muzzleloader (flintlock) privilege required since PA's first muzzleloader season (1974). Naming varied (license vs stamp). Confidence: high (privilege floor), low (stamp-name start).","https://www.tnonline.com/20190214/pennsylvania-hunting-history/","",""
"PA","Bear Permit","Permit","Bear","Any","False","True","1981","","VERIFIED: 1981 PA Legislature created a bear license purchased in addition to the general hunting license (allocation cap removed 1989; all issuing agents from 1997). Confidence: high.","https://www.huntingpa.com/threads/history-of-deer-management.118831/","",""
